0502771b61c2fdb0277cd60064388602  -0.000144   0.000217   0.089475  -0.275227 
0c32a8472a67c0af426479c7f0f61510   0.000049   0.000075   0.084175  -0.308585 
155acbda9861924c31f36a9c024b9a2f  -0.000109  -0.000148   0.146682  -0.404119 
251b25687747c7572ce81d09ac137418   0.001361  -0.001679   0.073796  -0.332169 
2a03c7cbdab1779eab34224b4e84553b   0.000284  -0.000265   0.079427  -0.324528 
2ec0e1a60debfb118a462a4b3373e683  -0.000092   0.000276   0.141895  -0.419125 
396b48aaefee060ae012b6d80425b879   0.000106   0.000231   0.182266  -0.396381 
489431daa71ca206d863c14ded8a6894  -0.000231   0.000230   0.112273  -0.309467 
5f5d3bea58779367e5d3f6581e92a232  -0.000215  -0.000226   0.124601  -0.410388 
64fe2421c60f7ec52e6afc909c6ea0ed  -0.000241   0.000145   0.129809  -0.399405 
723be41f2f1cd0724797fdbe7785611b  -0.000435   0.000206   0.390342  -0.396557 
82cfeb82fb0e2a23e5d9dc1c0de00a43   0.000173  -0.000006   0.113292  -0.392486 
82e3acab43017b0bea52c593037a3c0c   0.000434  -0.000080   0.178448  -0.410453 
91752355515f081e5b9c2ce35bd78e8f  -0.000028   0.000226   0.089043  -0.351070 
bf7fc9845a4f93f47f5677dc0d5db14a  -0.000016  -0.000328   0.072640  -0.268257 
c5017617697f9c9a2df42031062dad2a   0.000269   0.000189   0.443418  -0.457286 
cb2430bfd69068eebf80cea3597833aa  -0.000017  -0.000285   0.093761  -0.342429 
